a'ngunc	ອະຫງຸ່ນ
Ti^li^yaa	ທິ^ລີ^ຢາ
Tilon	ທິ^ໂລນ
Ti^me^atc	ທິ^ເມ^ອັດ
Ti^mo^tai	ທິ^ໂມ^ໄທ
Timon	ທິ^ໂມນ
Tisai	ທິ^ໄຊ
Tidatc	ທິ^ຕັດ
Ti^yaa^ti^laa	ທິ^ຢາ^ທິ^ລາ
Tikc^waa	ທິກ^ວາ
Tohu	ໂທ^ຫຸ
Totv^mbu^li	ໂທັດ^ບຸ^ລີ
Tu^ndaatc	ທຸ^ດາດ
Ufaatv	ອຸ^ຟັາດ
Ulaam	ອຸ^ລາມ
Uli	ອຸ^ລີ
U^li^aa	ອຸ^ລີ^ອາ
U^li^en	ອຸ^ລີ^ເອນ
U^li^yaa	ອຸ^ລີ^ຢາ
Ulim	ອຸ^ລິມ
Usaan	ອຸ^ຊານ
Usai	ອຸ^ໄຊ
Utai	ອຸ^ໄທ
Utc	ອູດ
Waa^ni^yaa	ວາ^ນິ^ຢາ
Yaa^aa^su	ຢາ^ອາ^ສຸ
Yaa^mbetc Gi^le^aatc	ຢາ^ເບດ^ກິ^ເລ^ອາດ
Yaakin	ຢາ^ຄີນ
Yaagun	ຢາ^ກູນ
Yaa^laa^haa	ຢາ^ລະ^ຮາ
Yaalipv	ຢາ^ລີບ
Yaasitv	ຢາ^ຊີດ
Yaasupv	ຢາ^ຊູບ
Yaanmutv	ຢານ^ມູດ
Ye^ndi^ndi^yaa	ເຢ^ດີ^ດິ^ຢາ
Ye^ndu^tun	ເຢ^ດູ^ທູນ
Ye^ho^waa Yi^le	ເຢ^ໂຮ^ວາ ຢີ^ເລ
Ye^ho^yaa^kin	ເຢ^ໂຮ^ຢາ^ຄີນ
Ye^hutv	ເຢ^ຮູດ
Ye^kaa^mi^yaa	ເຢ^ຄາ^ມິ^ຢາ
Ye^si^mi^en	ເຢ^ສິ^ມີ^ເອນ
Ye^si^mon	ເຢ^ຊິ^ໂມນ
Ye^si^sai	ເຢ^ຊິ^ໄຊ
Ye^utc	ເຢ^ອູດ
Yen^ne^saa^letv	ເຢນ^ເນ^ຊາ^ເລດ
Yilon	ຢິ^ໂລນ
Yitv^le^en	ຢິດ^ເລ^ເອນ
Yitv^saa^laa^yaa	ຢິດ^ສະ^ລາ^ຢາ
Yo^laa^ke^am	ໂຢ^ລະ^ເຄ^ອຳ
Yo^saa^wi^yaa	ໂຢ^ຊາ^ວິ^ຢາ
Yo^si^mbi^yaa	ໂຢ^ຊິ^ບີ^ຢາ
Yo^si^fi^yaa	ໂຢ^ສິ^ຟີ^ຢາ
Yo^si^yaa	ໂຢ^ສິ^ຢາ
Yopv	ໂຢບ
Yu^saa^tatv	ຢຸ^ສະ^ທັດ
Yu^ti^gatc	ຢຸ^ທິ^ກັດ
#new-stuff	#new-stuff
Gin^mbo^aa	ກິນ^ໂບ^ອາ
Jetc^si	ຈຽດ^ຊີ
gu'nyuoz	ກະຍົ໌ວ
mbu'ndongx	ບຸດົ໋ງ
Aa^ndun^lam	ອາ^ດຸນ^ລຳ
la'bieiv	ຫລະເປຢີ໊ຍ
Naatan	ນາ^ທັນ
Selekv	ເສ^ເລກ
Utc^si^yaa	ອຸດ^ຊີ^ຢາ
# in 1CH1:3 this seems to be ເມ^ທູ^ເຊ^ລາ
Me^tu^se^laa	ເມ^ທູ^ເສ^ລາ
Kitv^tim	ຄິດ^ທິມ
Sini	ສີ^ນີ
Temaa	ເທ^ມາ
Yetu	ເຢ^ທູ
Temaan	ເທ^ມານ
Se^i	ເສ^ອີ
Lotaan	ໂລ^ທານ
Mbin^haan	ບິນ^ຮານ
Ndin^haa^mbaa	ດິນ^ຮາ^ບາ
Mbaa^an Haanan	ບາ^ອັນ^ຮາ^ນັນ
Yetetv	ເຢ^ເທດ
Maako	ມາ^ໂຄ
za'gengh	ຕສະເກ້ງ
Simon	ຊີ^ມົນ
la'kuqv	ຫລະຄຸ
da'hmz	ຕະຮມ໌ມ
hietc	ຫຮຢຽດ
Se^mbu^lun	ເສ^ບູ^ລຸນ
Haamatv	ຮາ^ມັດ
zueiz	ເຕສວີ໌ຍ
Utc^saa	ອຸດ^ຊາ
Beletv Utc^saa	ເປ^ເລດ^ອຸດ^ຊາ
si^ndaa	ສີ^ດາ
Mbaa^an Be^laa^sim	ບາ^ອັນ^ເປ^ລາ^ຊິມ
Utc^si^en	ອຸດ^ຊີ^ເອນ
Maa^aa^se^aa	ມາ^ອາ^ເສ^ອາ
Mikaan	ມີ^ຄານ
Yaakopv	ຢາ^ໂຄບ
Ko^lin^to	ໂຄ^ລິນ^ໂທ
So^mbaa	ໂສ^ບາ
uix	ຫວຸຍ
#Aalam Naa^haqc^laa^im	ອາ^ລຳ^ນາ^ຫະ^ລາ^ອິມ
mv baac	ມປ່າ
Ndaawitv	ດາ^ວິດ
zaangc	ຕສັ່ງ
Saulo	ເຊົາ^ໂລ
Ndaagon	ດາ^ກົນ
Mben^yaa^min	ເບນ^ຢາ^ມິນ
Beletv	ເປ^ເລດ
Haalipv	ຮາ^ລິບ
Kolaa	ໂຄ^ລາ
mbaali	ບາ^ລີ
Haalotv	ຮາ^ລົດ
Sammotv	ຊຳ^ມົດ
Belon	ເປ^ລົນ
Heletv	ເຮ^ເລດ
Gimso	ກິມ^ໂຊ
Haasem	ຮາ^ເຊມ
Haalaan	ຮາ^ລານ
Saagi	ຊາ^ກີ
Haalaa	ຮາ^ລາ
Hefe	ເຮ^ເຟ
Kaanmen	ຄານ^ເມນ
Haagi	ຮາ^ກີ
Ammon	ອຳ^ມົນ
Mbe^e^lotv	ເບ^ເອ^ລົດ
Gaalepv	ກາ^ເລບ
Atc^taa^lotv	ອັດ^ທາ^ລົດ
Sammaa	ຊຳ^ມາ
Simli	ຊິມ^ລີ
Yaa^aa^si^en	ຢາ^ອາ^ຊີ^ເອນ
Ese	ເອ^ເຊ
Aalon	ອາ^ລົນ
Aase	ອາ^ເຊ
Nogaa	ໂນ^ກາ
Nefekv	ເນ^ເຟກ
Yaafie	ຢາ^ເຟຍ
Gese	ເກ^ເຊ
huin	ຮວິນ
huing	ຮວີງ
huingx	ຫຮວີງ
Geson	ເກ^ຊົນ
Mose	ໂມ^ເຊ
Aasaapc	ອາ^ສາບ
Unni	ອຸນ^ນີ
efotv	ເອ^ຟົດ
Isakc	ອີ^ສັກ
Hosaax	ໂຮ^ສາ
Silie	ຊີ^ເລຍ
Aalam	ອາ^ລຳ
gilo	ກີ^ໂລ
Enotv	ເອ^ນົດ
Yaaletv	ຢາ^ເລດ
Noyaa	ໂນ^ຢາ
Yaafetv	ຢາ^ເຟດ
Maagokc	ມາ^ກົກ
Yaawaan	ຢາ^ວານ
Tu^mban	ທູ^ບັນ
Mesekv	ເມ^ເຊກ
Lifaatv	ລີ^ຟາດ
Taansitv	ທານ^ຊິດ
Nimlotv	ນິມ^ລົດ
Aankaa	ອານ^ຄາ
Aanwatv	ອານ^ວັດ
Elaam	ເອ^ລາມ
se^me^nitv	ເຊ^ເມ^ນິດ
Belekv	ເປ^ເລກ
Selepv	ເຊ^ເລບ
Yelaa	ເຢ^ລາ
Ofi	ໂອ^ຟີ
Telaa	ເທ^ລາ
Naafitv	ນາ^ຟິດ
Suwaa	ຊູ^ວາ
Efaa	ເອ^ຟາ
Efe	ເອ^ເຟ
Esaau	ເອ^ຊາວ
Yaalaam	ຢາ^ລາມ
Timnaa	ທິມ^ນາ
Elaa	ເອ^ລາ
Minkom	ມິນ^ຄົມ
Molekv	ໂມ^ເລກ
huotv	ເຮວີດ
Saadaan	ຊາ^ຕານ
Onan	ໂອ^ນັນ
Setaam	ເສ^ທາມ
Amlaam	ອຳ^ລາມ
Gesom	ເກ^ຊົມ
Mikaa	ມີ^ຄາ
Musi	ມູ^ຊີ
Haalim	ຮາ^ລິມ
Se^o^lim	ເສ^ໂອ^ລິມ
Hakv^kotc	ຮັກ^ຂົດ
Ye^su^aa	ເຢ^ຊູ^ອາ
Yosepv	ໂຢ^ເຊບ
Seli	ເສ^ລີ
Yolam	ໂຢ^ລຳ
Yaase	ຢາ^ເຊ
Mikc^lotv	ໝິກ^ລົດ
Omli	ອົມ^ລີ
Sefaam	ເຊ^ຟາມ
Saalon	ຊາ^ລົນ
Saafatv	ຊາ^ຟັດ
Ndison	ດີ^ຊົນ
Ndisaan	ດີ^ຊານ
Holi	ໂຮ^ລີ
Sefo	ເສ^ໂຟ
Aiyaa	ໄອ^ຢາ
Hamlaan	ຮຳ^ລານ
Kelaan	ເຄ^ລານ
Aalan	ອາ^ລັນ
Mbelaa	ເບ^ລາ
Me^lo^nopv	ເມ^ໂລ^ນົບ
Haagaa	ຮາ^ກາ
Aanki	ອານ^ຄີ
Taamaa	ທາ^ມາ
Kaanko	ຄານ^ໂຄ
Ndaalaa	ດາ^ລາ
Kaanmi	ຄານ^ມີ
Kaalepv	ຄາ^ເລບ
Naason	ນາ^ຊົນ
Osem	ໂອ^ເຊມ
Yete	ເຢ^ເທ
Yese	ເຢ^ເຊ
Maaki	ມາ^ຄີ
Segupc	ເສ^ກຸບ
Olen	ໂອ^ເລນ
Sammai	ຊຳ^ໄມ
Molitv	ໂມ^ລິດ
Seletv	ເສ^ເລດ
Sesan	ເຊ^ຊັນ
Efaan	ເອ^ຟານ
Mesaa	ເມ^ຊາ
Utc^sen Qe^e^laa	ອຸດ^ເຊນ^ເທຈ^ເອ^ລາ
Lekem	ເລ^ເຄມ
Mbetc Su	ເບດ^ຊູ
Mosaa	ໂມ^ຊາ
Yotaam	ໂຢ^ທາມ
Gesaan	ເກ^ຊານ
Sewaa	ເສ^ວາ
Qewaa	ເທຈ^ວາ
Haaletv	ຮາ^ເລດ
Solaa	ໂສ^ລາ
Atc^lotv Mbetc Yo^aapc	ອັດ^ລົດ^ເບດ^ໂຢ^ອາບ
Lekaapv	ເລ^ຄາບ
Amnon	ອຳ^ນົນ
Gesu	ເກ^ຊູ
Tanmai	ທັນ^ໄມ
Mbatc^se^mbaa	ບັດ^ເຊ^ບາ
Aasaax	ອາ^ສາ
Se^nde^ki^yaa	ເສ^ເດ^ຄີ^ຢາ
Se^lupv^mbaa^mben	ເສ^ລຸບ^ບາ^ເບນ
Aannan	ອານ^ນັນ
Edaam	ເອ^ຕາມ
Helaa	ເຮ^ລາ
Seletc	ເສ^ເຫລດ
So^mbe^mbaa	ໂສ^ເບ^ບາ
Mbetc Laafaa	ເບດ^ລາ^ຟາ
Mbetc Haalam	ເບດ ຮາ^ລຳ
Baa^se^aa	ປາ^ເສ^ອາ
Lekaa	ເລ^ຄາ
Se^lai^aa	ເສ^ໄລ^ອາ
Meletv	ເມ^ເລດ
Yaalon	ຢາ^ລົນ
Faalo	ຟາ^ໂລ
Yeletv	ເຢ^ເລດ
Soko	ໂສ^ໂຄ
Gelem	ເກ^ເລມ
Linnaa	ລິນ^ນາ
So^hetc	ໂສ^ເຫດ
Ko^se^mbaa	ໂຄ^ເຊ^ບາ
Yokim	ໂຢ^ຄິມ
Esem	ເອ^ເຊມ
Tolatv	ໂທ^ລັດ
Homaa	ໂຮ^ມາ
Mbetc Maan^kaa^mbotc	ເບດ^ມານ^ຄາ^ບົດ
Haasaan Sux^simx	ຮາ^ຊານ^ສູ^ສິມ
Aayin	ອາ^ຢິນ
Limmon	ລິມ^ມົນ
Limmon Beletv	ລິມ^ມົນ^ເປ^ເລດ
Token	ໂທ^ເຄນ
Aaqan	ອາ^ທຈັນ
Yamlekv	ຢຳ^ເລກ
Sisaa	ຊີ^ຊາ
Se^mai^aa	ເຊ^ໄມ^ອາ
Banlu	ປັນ^ລູ
Aasaatv	ອາ^ຊາດ
Semaa	ເຊ^ມາ
Mbaa^an Me^on	ບາ^ອັນ^ເມ^ອົນ
Mbaasaan	ບາ^ຊານ
Saafaam	ຊາ^ຟາມ
Yolai	ໂຢ^ໄລ
Mbaa^an Hemon	ບາ^ອັນ^ເຮ^ມົນ
Seni	ເສ^ນີ
Hemon	ເຮ^ມົນ
Bunle	ປຸນ^ເລ
Gosaan	ໂກ^ຊານ
Utc^si	ອຸດ^ຊີ
Atc^si	ອັດ^ສີ
Sofai	ໂສ^ໄຟ
Se^fan^yaa	ເສ^ຟັນ^ຢາ
Mbaa^aa^se^yaa	ບາ^ອາ^ເສ^ຢາ
Kisi	ຄີ^ຊີ
Amsi	ອຳ^ຊີ
Hilen	ຮີ^ເລນ
Mbetc Semetv	ເບດ^ເຊ^ເມດ
Sekem	ເຊ^ເຄມ
Mbetc Holon	ເບດ^ໂຮ^ລົນ
Gatc Limmon	ກັດ^ລິມ^ມົນ
Golaan	ໂກ^ລານ
Laamotv	ລາ^ມົດ
Maasaan	ມາ^ຊານ
Hammon	ຮຳ^ມົນ
Kaantaa	ຄານ^ທາ
Yaasaa	ຢາ^ຊາ
Tolaa	ໂທ^ລາ
Simlon	ຊິມ^ລົນ
Mbeke	ເບ^ເຄ
Setaan	ເສ^ທານ
Sinlem	ຊິນ^ເລມ
Se^lo^fe^hatc	ເສ^ໂລ^ເຟ^ຫັດ
Laakem	ລາ^ເຄມ
Itv^hotv	ອິ໊ດ^ຮົດ
Melaa	ເມ^ລາ
Mbeletv	ເບ^ເລດ
Lefaa	ເລ^ຟາ
Lesepv	ເລ^ເຊບ
Mbetc Saan	ເບດ^ຊານ
Imnaa	ອິມ^ນາ
Baasakc	ປາ^ສັກ
Logaa	ໂລ^ກາ
Sofaa	ໂສ^ຟາ
Mbeli	ເບ^ລີ
Imlaa	ອິມ^ລາ
Sinsaa	ຊິນ^ຊາ
Aalaa	ອາ^ລາ
Unlaa	ອຸນ^ລາ
Lisiex	ລີ^ເສຍ
Laafaa	ລາ^ຟາ
Gelaa	ເກ^ລາ
Minmaa	ມິນ^ມາ
Semetv	ເຊ^ເມດ
Ono	ໂອ^ໂນ
Saasakv	ຊາ^ຊັກ
Aalaatv	ອາ^ລາດ
Yaakim	ຢາ^ຄິມ
Simlaatv	ຊິມ^ລາດ
Seke	ເສ^ເຄ
Melipv Mbaa^an	ເມ^ລິບ^ບາ^ອັນ
Melekv	ເມ^ເລກ
Taalie	ທາ^ເລຍ
Aasen	ອາ^ເຊນ
Esekv	ເອ^ເຊກ
Imli	ອິມ^ລີ
Silo	ຊີ^ໂລ
Hatc^se^nu^aa	ຫັດ^ເສ^ນູ^ອາ
Imme	ອິມ^ເມ
He^letv^se	ເຮ^ເລດ^ເສ
Gaalaan	ກາ^ລານ
Tanmon	ທັນ^ມົນ
Yaalaa	ຢາ^ລາ
nyei	ເຍີຍ
Timnaatv Selaa	ທິມ^ນາດ^ເສ^ລາ
# kouv should be a normal pattern
kouv	ໂຄ້ວ
kou kou	ໂຄວ ໂຄວ
Mene	ເມ^ເນ
Neko	ເນ^ໂຄ
Yesu	ເຢ^ຊູ
Minlo	ມິນ^ໂລ
Giduc	ກີ^ຕູ່
Silaa	ຊີ^ລາ
Se^laa^saa	ເສ^ລາ^ຊາ
Laasen	ລາ^ເຊນ
guinh	ກວິ້ນ
Maadi	ມາ^ຕີ
Mbesekv	ເບ^ເຊກ
Yelupv Mbaa^an	ເຢ^ລຸບ^ບາ^ອັນ
Yepv^taa	ຢ໊ຽບ^ທາ
nzaangc	ດສັ່ງ
Mbetc Aawen	ເບດ^ອາ^ເວນ
Mbosetv	ໂບ^ເຊດ
Sene	ເສ^ເນ
Melaapv	ເມ^ລາບ
Kenai	ເຄ^ໄນ
Aagakc	ອາ^ກັກ
Sekenx	ເຊ^ເຂນ
guenx	ເກວ໋ນ
Ekon	ເອ^ຄົນ
Naayotv	ນາ^ຢົ໊ດ
Seku	ເສ^ຄູ
Baalaan	ປາ^ລານ
Ganlim	ກັນ^ລິມ
Banti	ປັນ^ທີ
Maa^okc	ມາ^ອົກ
Negepc	ເນ^ເກບ
kuinx	ຂວິນ
Mbeso	ເບ^ໂສ
Laakaan	ລາ^ຄານ
Aataakv	ອາ^ທາກ
Eli	ເອ^ລີ
Selo	ເສ^ໂລ
Baulo	ເປົາ^ໂລ
Haawaa	ຮາ^ວາ
Bilaatv	ປີ^ລາດ
Bide	ປີ^ເຕ
Helotv	ເຮ^ລົດ
Taasatv	ທາ^ຊັດ
Saibatc	ໄຊ^ປັດ
An^ti^okc	ອັນ^ທີ^ອົກ
Yannetv	ຢັນ^ເນດ
Mbe^e^qe^mbaa	ເບ^ເອ^ເທຈ^ບາ
Hesi	ເຮ^ຊີ
Aa^kuin^laa	ອາ^ຄວິນ^ລາ
Aa^li^okc	ອາ^ລີ^ອົກ
Aafekv	ອາ^ເຟກ
Aakitv	ອາ^ຄິດ
Aalapc	ອາ^ຫລັບ
Aannon	ອານ^ນົນ
Annaatv	ອັນ^ນາດ
Atc^si^lie	ອັດ^ຊີ^ເລຍ
Bekaa	ເປ^ຄາ
Besie	ເປ^ເຊຍ
Elon	ເອ^ລົນ
En Ge^ndi	ເອນ^ເກ^ດີ
Esie	ເອ^ເຊຍ
Filipv	ຟີ^ລິບ
Gaasaa	ກາ^ຊາ
Gosen	ໂກ^ເຊນ
Haa^mbaa^gukc	ຮາ^ບາ^ກຸກ
Haaso	ຮາ^ໂຊ
Hannaa	ຮັນ^ນາ
Holepv	ໂຮ^ເລບ
Hun^ndaa	ຮຸນ^ດາ
Kison	ຄີ^ຊົນ
Kitv^lon	ຄິດ^ລົນ
Ko^lo^si	ໂຄ^ໂລ^ສີ
Le^mbo Haamatv	ເລ^ໂບ^ຮາ^ມັດ
Lesin	ເລ^ຊິນ
Lomaa	ໂລ^ມາ
Lugaa	ລູ^ກາ
Lute	ລູ^ເທ
Maalaa	ມາ^ລາ
Maataa	ມາ^ທາ
Mamle	ມຳ^ເລ
Mbaalaakv	ບາ^ລາກ
Mben Hinnom	ເບນ^ຮິນ^ນົມ
Mbinnui	ບິນ^ນຸຍ
Me^so^bo^de^mie	ເມ^ໂສ^ໂປ^ເຕ^ເມຍ
Memfitv	ເມມ^ຟິດ
Mesaakv	ເມ^ຊາກ
Minkaa	ມິນ^ຄາ
Saafaan	ຊາ^ຟານ
Saalaa	ຊາ^ລາ
Saalaai	ຊາ^ລາຍ
Saalem	ຊາ^ເລມ
Sailatv	ໄຊ^ລັດ
Se^faan^waa^im	ເສ^ຟານ^ວາ^ອິມ
Se^mbaa	ເສ^ບາ
Se^mbe^ndi	ເສ^ເບ^ດີ
Se^mbun	ເສ^ບຸນ
So^aa	ໂສ^ອາ
So^ndom	ໂສ^ດົມ
Sunem	ຊູ^ເນມ
Tofetv	ໂທ^ເຟດ
Tummim	ທຸມ^ມິມ
Yaagorpc	ຢາ^ກອບ
Ye^ko^ni^yaa	ເຢ^ໂຄ^ນີ^ຢາ
Yeto	ເຢ^ໂທ
Yiutai	ຢິວ^ໄທ
Yonaa	ໂຢ^ນາ
aqc mangc	ອະໝັ່ງ
ga'hlen	ກະເຮລນ
ga'nyiec	ກະເຫຍ່ຍ
guen	ເກວນ
guetv	ເກວ໊ດ
hienx	ຫຮຢຽນ
hietv	ຮຢຽດ
hiun	ຮຢຸນ
hui	ຮວີ
hui-baeqc	ຮວີ-ແປະ
huon	ເຮວີນ
jiem-kuing	ຈຽມ-ຄວີງ
ka'ndau	ຂະເດົາ
kuing	ຄວີງ
la'ngopv	ຫລະງົບ
mbiungc	ບຢູ່ງ
mbiungc-nziaaux	ບຢູ່ງ-ດສຢ໋າວ
mbiungc-suiv	ບຢູ່ງ-ຊຸ້ຍ
nquin	ອກວິນ
Aa^se^natv	ອາ^ເສ^ນັດ
Aa^taa^lotv	ອາ^ທາ^ລົດ
Aagu	ອາ^ກູ
Aan^gopc	ອານ^ກົບ
Aanni	ອານ^ນີ
Aasor	ອາ^ຊໍ
Annaa	ອັນ^ນາ
Baa^hatc Mo^apc	ປາ^ຫັດ^ໂມ^ອັບ
Baafotv	ປາ^ຟົດ
Baalaa	ປາ^ລາ
Baalotv	ປາ^ລົດ
Batc^lotv	ປັດ^ລົດ
Begaa	ເປ^ກາ
Bulaa	ປູ^ລາ
Bulim	ປູ^ລິມ
da'faanh	ຕະຟ່ານ
E^li^se^mbaa	ເອ^ລີ^ເຊ^ບາ
E^si^on Ge^mbe	ເອ^ຊີ^ອົນ^ເກ^ເບ
Elatv	ເອ^ລັດ
Elim	ເອ^ລິມ
En Gannim	ເອນ^ກັນ^ນິມ
En Semetv	ເອນ^ເຊ^ເມດ
Faalo Neko	ຟາ^ໂລ^ເນ^ໂຄ
Fiko	ຟີ^ໂຄ
Gatc Hefe	ກັດ^ເຮ^ເຟ
Ge^li^lotv	ເກ^ລີ^ລົດ
Ge^nde^lotv	ເກ^ເດ^ລົດ
Gesem	ເກ^ເຊມ
Getc^se^maa^ni	ເກດ^ເສ^ມາ^ນີ
Haa^le^lu Yaa	ຮາ^ເລ^ລູ^ຢາ
Haa^se^lotv	ຮາ^ເຊ^ລົດ
Haalakv	ຮາ^ລັກ
Haasaa Lenon	ຮາ^ຊາ^ເລ^ນົນ
Haulaan	ເຮົາ^ລານ
He^se^ki^yaa	ເຮ^ເຊ^ຄີ^ຢາ
Bison	ປີ^ຊົນ
Taigitc	ໄທ^ກິດ
Tu^mban Kaa^in	ທູ^ບັນ^ຄາ^ອິນ
Nefin	ເນ^ຟິນ
Se^mbo^yim	ເສ^ໂບ^ຢິມ
Sefaa	ເສ^ຟາ
Aa^le^okc	ອາ^ເລ^ອົກ
So^haax	ໂສ^ຫາ
nie-ha'louh	ເນຍ-ຫະໂລ່ວ
Batc^ndaan Aalam	ປັດ^ດານ^ອາ^ລຳ
Mbaa^se^matv	ບາ^ເສ^ມັດ
En E^lo^he I^saa^laa^en	ເອນ^ເອ^ໂລ^ເຮ^ອີ^ຊາ^ລາ^ເອນ
En Mbetc^en	ເອນ^ເບດ^ເອນ
Saax^fe^naatv Baa^ne^aa	ສາ^ເຟ^ນາດ^ປາ^ເນ^ອາ
Sefon	ເສ^ຟົນ
Mbaa^an Sefon	ບາ^ອັນ^ເຊ^ຟົນ
guengx	ເກວ໋ງ
Ye^ho^waa Nitv^si	ເຢ^ໂຮ^ວາ ນິດ^ຊີ
Supc^aa	ສຸບ^ອາ
Kaa^ndetc Mbaa^nie	ຄາ^ເດດ^ບາ^ເນຍ
Si^li^orn	ສີ^ລີ^ອອນ
Aa^mo^lai	ອາ^ໂມ^ໄລ
Kipc^lotv Hatc^daa^aa^waa	ຂິບ^ລົດ^ຫັດ^ຕາ^ອາ^ວາ
Mbe^e^lotv Mbe^ne^yaa^aa^kan	ເບ^ເອ^ລົດ^ເບ^ເນ^ຢາ^ອາ^ຄັນ
Mo^se^laa	ໂມ^ເສ^ລາ
Mbetc Be^o	ເບດ^ເປ^ໂອ
So^ndi	ໂສ^ດີ
Setu	ເສ^ທູ
Wopv^si	ວົບ^ສີ
I^ye Aa^mbaa^lim	ອີ^ເຢ^ອາ^ບາ^ລິມ
Sofim	ໂສ^ຟິມ
Aalotv	ອາ^ລົດ
Se^mbaam	ເສ^ບາມ
Atc^lotv Sofaan	ອັດ^ລົດ^ໂຊ^ຟານ
Makv^he^lotv	ມັກ^ເຮ^ລົດ
Mo^se^lotv	ໂມ^ເສ^ລົດ
Anmon Ndipc^laa^taa^im	ອັນ^ມົນ^ດິບ^ລາ^ທາ^ອິມ
Se^ndatc	ເສ^ດັດ
Mitv^le^fotv Maa^im	ມິດ^ເລ^ຟົດ^ມາ^ອິມ
Simlon Melon	ຊິມ^ລົນ^ເມ^ລົນ
Naafotv Ndo^aa	ນາ^ຟົດ^ໂດ^ອາ
Mbaamotv Mbaa^an	ບາ^ມົດ^ບາ^ອັນ
Ze^e^letv Saa^haax	ເຕສ^ເອ^ເລດ^ຊາ^ຫາ
Kinaa	ຄີ^ນາ
Mbetc Hokv^laa	ເບດ^ຮົກ^ລາ
Mbe^aa^lotv	ເບ^ອາ^ລົດ
Haaso Haa^ndatc^taa	ຮາ^ໂຊ^ຮາ^ດັດ^ທາ
Mbetc Beletv	ເບດ^ເປ^ເລດ
Senan	ເສ^ນັນ
Kitv^litv	ຄິດ^ລິດ
Mbetc Ndaagon	ເບດ^ດາ^ກົນ
Mbetc Tapv^bu^waa	ເບດ^ທັບ^ປູ^ວາ
Mbetc Aanotv	ເບ^ທາ^ນົດ
Aa^taa^lotv Atc^ndaa	ອາ^ທາ^ລົດ^ອັດ^ດາ
Mbetc Aa^laa^mbaa	ເບດ^ອາ^ລາ^ບາ
Mbetc Se^aan	ເບດ^ເຊ^ອານ
Se^maa^laa^im	ເສ^ມາ^ລາ^ອິມ
Mbaa^aa^latv Mbe^e	ບາ^ອາ^ລັດ^ເບ^ເອ
Kitv^lotv Taa^mbo	ຄິດ^ລົດ^ທາ^ໂບ
Etc Kaasin	ເອດ^ຄາ^ຊິນ
Ipc^taa En	ອິບ^ທາ^ເອນ
Ke^sunx^lotv	ເຄ^ສຸນ^ລົດ
Mbetc Batc^setv	ເບດ^ປັດ^ເຊດ
Atc^notv Taa^mbo	ອັດ^ນົດ^ທາ^ໂບ
En Haaso	ເອນ^ຮາ^ໂຊ
In Semetv	ອິນ^ເຊ^ເມດ
Mbe^ne Mbelaakv	ເບ^ເນ^ເບ^ລາກ
pa'li pa'laaix	ພະລີ ພະຫລາຍ
Timnaatv Heletv	ທິມ^ນາດ^ເຮ^ເລດ
Sefatv	ເສ^ຟັດ
# which one is correct?
#Mbetc Aa^naatv	ເບດ^ອາ^ນາດ
Mbetc Aanaatv	ເບດ^ອາ^ນາດ
Haa^lo^setv Haa^go^yim	ຮາ^ໂລ^ເຊດ^ຮາ^ໂກ^ຢິມ
Melotv	ເມ^ລົດ
Se^le^laa	ເສ^ເລ^ລາ
Mbetc Qitv^taa	ເບດ^ທຈິດ^ທາ
Mbetc Mbaalaa	ເບດ^ບາ^ລາ
Se^epc	ເສ^ເອບ
Laamaatv Lehi	ລາ^ມາດ^ເລ^ຮີ
Solekv	ໂສ^ເລກ
huov-jeix	ຮວົ້ວ-ເຈີ໋ຍ
Se^mbo^im	ເສ^ໂບ^ອິມ
Si^laa^aa	ສີ^ລາ^ອາ
O^mbetc E^ndom	ໂອ^ເບດ^ເອ^ດົມ
Itc^mbi Mbenopv	ອິດ^ບີ^ເບ^ນົບ
Yoqepv Mbatc^qe^mbetc	ໂຢ^ເທຈບ^ບັດ^ເທຈ^ເບດ
Saamaa	ຊາ^ມາ
Qiqaa	ທຈີ^ທຈາ
Elotv	ເອ^ລົດ
minaa	ມີ^ນາ
Se^le^ndaa	ເສ^ເລ^ດາ
hiou	ໂຮຢວ
He^si^on	ເຮ^ຊີ^ອົນ
Saen^maa^ne^se	ແຊນ^ມາ^ເນ^ເສ
So Hungh	ໂສ ຮູ່ງ
Hepv^si^mbaa	ເຮບ^ຊີ^ບາ
Haalutv	ຮາ^ລຸດ
Se^naa^aa	ເສ^ນາ^ອາ
Si^haqc	ສີ^ຫະ
Si^aa^haa	ສີ^ອາ^ຮາ
Kelotv	ເຄ^ລົດ
#Mbaa^kotc	ບາ^ຂົດ
Sotai	ໂສ^ໄທ
Hatc^so^fe^letv	ຫັດ^ໂສ^ເຟ^ເລດ
Kitv^lepv	ຄິດ^ເລບ
Mbe^so^ndai^aa	ເບ^ໂສ^ໄດ^ອາ
So^fe^letv	ໂສ^ເຟ^ເລດ
Min^yaa^min	ມິນ^ຢາ^ມິນ
Mbetc Gin^gaan	ເບດ^ກິນ^ການ
Gin^gaan	ກິນ^ການ
Qetaa	ເທຈ^ທາ
Qetaa Mbo^se^nai	ເທຈ^ທາ ໂບ^ເຊ^ໄນ
Maan^se^naa	ມານ^ເສ^ນາ
mbaqc piatv	ບະ ພຢັດ
hienv	ຮຢ້ຽນ
Hegai	ເຮ^ໄກ
Teletv	ເທ^ເລດ
Ten Aa^mbipc	ເທນ^ອາ^ບິບ
